,mean,std
support_mean_c196,2.0236793586666666,
support_mean_c197,0.7425359025555557,
support_mean_c198,1.3677842892222223,
support_mean_c199,0.38545379268888885,
support_mean_c20,0.3653436511333333,
support_mean_c202,0.5016032350666667,
support_mean_c204,0.5795295022444444,
support_mean_c209,1.4648808306666663,
support_mean_c210,0.6746850338666667,
support_mean_c212,0.5247090466666667,
support_mean_c213,0.8108932558888889,
support_mean_c214,0.8580514680000003,
support_mean_c218,0.5149994990888889,
support_mean_c219,0.5556228049,
support_mean_c22,0.9308051712222222,
support_mean_c220,1.2948449686666665,
support_mean_c221,1.290422271666667,
support_mean_c222,0.6624903226666666,
support_mean_c225,1.3402012475555556,
support_mean_c227,0.8856611557333331,
support_mean_c228,0.5728796514,
support_mean_c23,1.430810499111111,
support_mean_c235,0.6936963003277778,
support_mean_c236,0.9956238436444443,
support_mean_c24,0.7337097157888888,
support_mean_c241,2.9253094111111118,
support_mean_c242,1.1404194418888889,
support_mean_c243,0.57079421543,
support_mean_c246,0.4619307993666667,
support_mean_c248,1.3527069484444445,
support_mean_c249,1.4290059839333331,
support_mean_c251,0.5297448863666667,
support_mean_c256,0.46514146622222213,
support_mean_c257,0.48234302131111106,
support_mean_c260,0.51277447494,
support_mean_c262,0.6316002586555556,
support_mean_c264,0.7741460640000001,
support_mean_c266,0.5542508614977778,
support_mean_c268,0.4181831439888889,
support_mean_c269,1.3029216733333333,
support_mean_c272,0.7537305777777777,
support_mean_c273,0.7010665262055557,
support_mean_c274,0.5583229486777778,
support_mean_c275,0.5174071905966667,
support_mean_c276,0.5398832583333333,
support_mean_c279,0.4971663555366667,
support_mean_c284,0.7507995160555555,
support_mean_c287,0.5876865916222223,
support_mean_c293,0.46052059870444456,
support_mean_c294,0.8031159683777778,
support_mean_c296,0.3629387265444444,
support_mean_c297,1.5276398916666665,
support_mean_c298,0.7230602515555555,
support_mean_c3,0.48792363866666666,
support_mean_c301,0.678257239111111,
support_mean_c302,1.3997494641111112,
support_mean_c304,1.166429902111111,
support_mean_c307,1.0171667893333334,
support_mean_c310,0.60157813595,
support_mean_c313,0.48567560217777767,
support_mean_c320,0.6352577185,
support_mean_c323,0.5641819276666667,
support_mean_c326,0.9364537392222222,
support_mean_c327,1.0293475123288889,
support_mean_c329,0.5394243369999999,
support_mean_c330,0.41665098463066663,
support_mean_c333,1.9387485860222222,
support_mean_c336,0.5817057705055555,
support_mean_c339,0.4126117872,
support_mean_c34,0.6626167405555555,
support_mean_c341,0.42815762323333345,
support_mean_c342,0.3737508467182221,
support_mean_c347,1.0134527349888889,
support_mean_c348,0.4989478658888889,
support_mean_c351,1.1924526712555557,
support_mean_c352,0.49728936185555556,
support_mean_c354,1.0294854829888889,
support_mean_c359,0.5872723636811111,
support_mean_c360,1.0462881243333333,
support_mean_c361,0.7266696218222222,
